Id,Id2,Geography,Estimate; Total:,Margin of Error; Total:,Estimate; Total: - Not Hispanic or Latino,Margin of Error; Total: - Not Hispanic or Latino,Estimate; Total: - Hispanic or Latino,Margin of Error; Total: - Hispanic or Latino
8600000US10506,10506,ZCTA5 10506,5856,598,5725,590,131,79
8600000US10507,10507,ZCTA5 10507,7011,584,4787,490,2224,570
8600000US10509,10509,ZCTA5 10509,19897,681,15882,882,4015,565
8600000US10510,10510,ZCTA5 10510,10672,433,9554,470,1118,477
8600000US10511,10511,ZCTA5 10511,2271,256,1902,181,369,258
8600000US10512,10512,ZCTA5 10512,24608,943,20994,953,3614,615
8600000US10514,10514,ZCTA5 10514,12694,730,12502,714,192,138
8600000US10516,10516,ZCTA5 10516,5521,280,5114,291,407,124
8600000US10517,10517,ZCTA5 10517,427,163,399,158,28,30
8600000US10518,10518,ZCTA5 10518,1246,313,1246,313,0,11
8600000US10519,10519,ZCTA5 10519,185,123,185,123,0,11
8600000US10520,10520,ZCTA5 10520,13185,370,11908,385,1277,276
8600000US10522,10522,ZCTA5 10522,11141,30,9902,363,1239,365
8600000US10523,10523,ZCTA5 10523,9648,628,6553,677,3095,548
8600000US10524,10524,ZCTA5 10524,4303,274,4009,290,294,127
8600000US10526,10526,ZCTA5 10526,1683,259,1493,215,190,205
8600000US10527,10527,ZCTA5 10527,821,164,819,164,2,5
8600000US10528,10528,ZCTA5 10528,13350,582,11859,689,1491,581
8600000US10530,10530,ZCTA5 10530,12543,666,10825,650,1718,393
8600000US10532,10532,ZCTA5 10532,5012,269,4437,284,575,249
8600000US10533,10533,ZCTA5 10533,7579,356,6998,269,581,319
8600000US10535,10535,ZCTA5 10535,511,280,462,272,49,82
8600000US10536,10536,ZCTA5 10536,10730,668,10069,676,661,326
8600000US10537,10537,ZCTA5 10537,1661,348,1540,358,121,104
8600000US10538,10538,ZCTA5 10538,16894,436,15333,677,1561,538
8600000US10541,10541,ZCTA5 10541,26743,816,23978,932,2765,502
8600000US10543,10543,ZCTA5 10543,20733,422,15896,797,4837,688
8600000US10545,10545,ZCTA5 10545,128,43,108,59,20,29
8600000US10546,10546,ZCTA5 10546,1494,366,1367,305,127,161
8600000US10547,10547,ZCTA5 10547,7709,893,5744,630,1965,737
8600000US10548,10548,ZCTA5 10548,3547,362,3019,332,528,118
8600000US10549,10549,ZCTA5 10549,16602,696,11424,959,5178,630
8600000US10550,10550,ZCTA5 10550,37014,1237,30740,1358,6274,919
8600000US10552,10552,ZCTA5 10552,20614,1077,17131,1003,3483,675
8600000US10553,10553,ZCTA5 10553,10782,834,10026,830,756,340
8600000US10560,10560,ZCTA5 10560,4920,146,4503,259,417,234
8600000US10562,10562,ZCTA5 10562,31955,412,19153,1087,12802,987
8600000US10566,10566,ZCTA5 10566,24035,129,14588,778,9447,801
8600000US10567,10567,ZCTA5 10567,20778,613,16499,656,4279,622
8600000US10570,10570,ZCTA5 10570,12656,395,11466,472,1190,304
8600000US10573,10573,ZCTA5 10573,39188,52,18616,902,20572,903
8600000US10576,10576,ZCTA5 10576,4988,414,4882,410,106,65
8600000US10577,10577,ZCTA5 10577,6332,440,5502,402,830,188
8600000US10578,10578,ZCTA5 10578,851,208,685,184,166,130
8600000US10579,10579,ZCTA5 10579,9141,438,8153,506,988,246
8600000US10580,10580,ZCTA5 10580,17549,315,16497,481,1052,317
8600000US10583,10583,ZCTA5 10583,40221,951,38046,926,2175,414
8600000US10588,10588,ZCTA5 10588,2771,603,1779,364,992,536
8600000US10589,10589,ZCTA5 10589,9426,433,8888,455,538,219
8600000US10590,10590,ZCTA5 10590,7047,575,6593,606,454,203
8600000US10591,10591,ZCTA5 10591,23363,413,14162,928,9201,912
8600000US10594,10594,ZCTA5 10594,5107,450,4442,410,665,385
8600000US10595,10595,ZCTA5 10595,8366,541,7227,531,1139,346
8600000US10596,10596,ZCTA5 10596,1462,292,1167,277,295,225
8600000US10597,10597,ZCTA5 10597,919,257,919,257,0,11
8600000US10598,10598,ZCTA5 10598,29789,882,26443,899,3346,496
8600000US10601,10601,ZCTA5 10601,11826,957,8652,840,3174,672
8600000US10603,10603,ZCTA5 10603,17981,961,13810,822,4171,614
8600000US10604,10604,ZCTA5 10604,11153,625,8608,679,2545,576
8600000US10605,10605,ZCTA5 10605,18001,892,14161,686,3840,671
8600000US10606,10606,ZCTA5 10606,17356,915,8857,651,8499,895
8600000US10607,10607,ZCTA5 10607,6828,706,5382,584,1446,371
8600000US10701,10701,ZCTA5 10701,59101,1940,34745,1631,24356,1664
8600000US10703,10703,ZCTA5 10703,21348,1219,12591,1196,8757,1223
8600000US10704,10704,ZCTA5 10704,32733,1246,24061,1235,8672,985
8600000US10705,10705,ZCTA5 10705,41588,1599,19644,1220,21944,1692
8600000US10706,10706,ZCTA5 10706,8903,242,8290,267,613,207
8600000US10707,10707,ZCTA5 10707,10453,348,9104,387,1349,346
8600000US10708,10708,ZCTA5 10708,22130,674,19051,665,3079,438
8600000US10709,10709,ZCTA5 10709,9506,477,9072,522,434,269
8600000US10710,10710,ZCTA5 10710,27022,976,21046,1100,5976,745
8600000US10801,10801,ZCTA5 10801,41773,887,27077,1240,14696,1197
8600000US10803,10803,ZCTA5 10803,12650,28,11192,228,1458,230
8600000US10804,10804,ZCTA5 10804,14466,757,13336,802,1130,377
8600000US10805,10805,ZCTA5 10805,19681,773,12217,825,7464,705
8600000US10901,10901,ZCTA5 10901,23948,912,20740,927,3208,588
8600000US10910,10910,ZCTA5 10910,25,39,25,39,0,11
8600000US10911,10911,ZCTA5 10911,0,11,0,11,0,11
8600000US10913,10913,ZCTA5 10913,5686,446,5065,431,621,119
8600000US10914,10914,ZCTA5 10914,415,202,415,202,0,11
8600000US10915,10915,ZCTA5 10915,75,107,75,107,0,11
8600000US10916,10916,ZCTA5 10916,4228,413,3935,395,293,115
8600000US10917,10917,ZCTA5 10917,1862,370,1405,287,457,263
8600000US10918,10918,ZCTA5 10918,12477,861,10004,905,2473,503
8600000US10919,10919,ZCTA5 10919,1393,363,1286,385,107,95
8600000US10920,10920,ZCTA5 10920,8869,542,7463,468,1406,323
8600000US10921,10921,ZCTA5 10921,3765,255,3245,313,520,174
8600000US10922,10922,ZCTA5 10922,1637,259,1342,257,295,151
8600000US10923,10923,ZCTA5 10923,8553,792,5283,637,3270,636
8600000US10924,10924,ZCTA5 10924,13253,414,11481,476,1772,371
8600000US10925,10925,ZCTA5 10925,3942,320,3189,694,753,595
8600000US10926,10926,ZCTA5 10926,3526,379,2588,336,938,317
8600000US10927,10927,ZCTA5 10927,12181,31,3810,415,8371,418
8600000US10928,10928,ZCTA5 10928,3974,72,3428,197,546,180
8600000US10930,10930,ZCTA5 10930,8837,571,7335,513,1502,350
8600000US10931,10931,ZCTA5 10931,1041,141,763,114,278,106
8600000US10932,10932,ZCTA5 10932,72,78,54,88,18,28
8600000US10933,10933,ZCTA5 10933,738,264,727,261,11,18
8600000US10940,10940,ZCTA5 10940,49692,1120,33542,1202,16150,1067
8600000US10941,10941,ZCTA5 10941,12869,865,10018,690,2851,519
8600000US10950,10950,ZCTA5 10950,50397,1004,44357,871,6040,703
8600000US10952,10952,ZCTA5 10952,41811,1498,40727,1560,1084,364
8600000US10953,10953,ZCTA5 10953,125,120,125,120,0,11
8600000US10954,10954,ZCTA5 10954,23608,1115,20378,1156,3230,610
8600000US10956,10956,ZCTA5 10956,31691,735,28652,834,3039,473
8600000US10958,10958,ZCTA5 10958,3286,443,2790,398,496,233
8600000US10960,10960,ZCTA5 10960,15547,782,12997,762,2550,605
8600000US10962,10962,ZCTA5 10962,5739,572,5309,534,430,162
8600000US10963,10963,ZCTA5 10963,4178,463,3309,345,869,366
8600000US10964,10964,ZCTA5 10964,1372,285,1316,285,56,81
8600000US10965,10965,ZCTA5 10965,14836,684,13634,723,1202,484
8600000US10968,10968,ZCTA5 10968,2309,129,2042,202,267,165
8600000US10969,10969,ZCTA5 10969,1341,270,1267,256,74,83
8600000US10970,10970,ZCTA5 10970,9804,608,7841,509,1963,449
8600000US10973,10973,ZCTA5 10973,2377,357,2261,359,116,103
8600000US10974,10974,ZCTA5 10974,3204,61,2732,117,472,91
8600000US10975,10975,ZCTA5 10975,313,170,253,167,60,53
8600000US10976,10976,ZCTA5 10976,2614,466,2223,398,391,309
8600000US10977,10977,ZCTA5 10977,64535,1284,49793,1421,14742,911
8600000US10979,10979,ZCTA5 10979,262,234,262,234,0,11
8600000US10980,10980,ZCTA5 10980,13894,306,11306,477,2588,453
8600000US10983,10983,ZCTA5 10983,5811,358,5120,377,691,216
8600000US10984,10984,ZCTA5 10984,3065,462,2130,428,935,293
8600000US10985,10985,ZCTA5 10985,176,194,176,194,0,11
8600000US10986,10986,ZCTA5 10986,1831,267,1618,265,213,146
8600000US10987,10987,ZCTA5 10987,3279,177,3015,223,264,127
8600000US10988,10988,ZCTA5 10988,696,227,524,185,172,155
8600000US10989,10989,ZCTA5 10989,9985,724,8170,719,1815,745
8600000US10990,10990,ZCTA5 10990,19781,544,18506,643,1275,358
8600000US10992,10992,ZCTA5 10992,9224,650,7444,629,1780,259
8600000US10993,10993,ZCTA5 10993,5355,512,2785,430,2570,583
8600000US10994,10994,ZCTA5 10994,7738,679,6879,634,859,347
8600000US10996,10996,ZCTA5 10996,6541,271,5866,339,675,207
8600000US10998,10998,ZCTA5 10998,3063,270,2637,320,426,274
8600000US11001,11001,ZCTA5 11001,28010,800,24695,777,3315,626
8600000US11003,11003,ZCTA5 11003,45439,1734,36333,1577,9106,1076
8600000US11004,11004,ZCTA5 11004,15151,931,12997,901,2154,769
8600000US11005,11005,ZCTA5 11005,1762,317,1744,318,18,21
8600000US11010,11010,ZCTA5 11010,24826,1408,20463,1100,4363,790
8600000US11020,11020,ZCTA5 11020,5897,489,5468,424,429,298
8600000US11021,11021,ZCTA5 11021,17958,469,16867,713,1091,566
8600000US11023,11023,ZCTA5 11023,9885,876,9452,901,433,235
8600000US11024,11024,ZCTA5 11024,7810,529,7452,435,358,334
8600000US11030,11030,ZCTA5 11030,18194,620,17261,668,933,197
8600000US11040,11040,ZCTA5 11040,42140,876,37132,988,5008,916
8600000US11042,11042,ZCTA5 11042,535,183,517,175,18,26
8600000US11050,11050,ZCTA5 11050,30652,812,25867,898,4785,791
8600000US11096,11096,ZCTA5 11096,8609,652,4728,541,3881,603
8600000US11101,11101,ZCTA5 11101,28852,1244,20916,1352,7936,902
8600000US11102,11102,ZCTA5 11102,33727,1438,23516,1219,10211,1103
8600000US11103,11103,ZCTA5 11103,38036,1299,29082,1230,8954,819
8600000US11104,11104,ZCTA5 11104,25725,1255,17808,891,7917,1003
8600000US11105,11105,ZCTA5 11105,37288,1181,29325,1156,7963,892
8600000US11106,11106,ZCTA5 11106,40111,1619,28358,1427,11753,1100
8600000US11109,11109,ZCTA5 11109,5298,648,4947,613,351,167
8600000US11201,11201,ZCTA5 11201,61907,1640,54280,1541,7627,739
8600000US11203,11203,ZCTA5 11203,75989,1822,71290,1770,4699,722
8600000US11204,11204,ZCTA5 11204,80056,2271,71726,2259,8330,1088
8600000US11205,11205,ZCTA5 11205,45148,1728,36815,1717,8333,912
8600000US11206,11206,ZCTA5 11206,87767,2216,53910,1695,33857,1478
8600000US11207,11207,ZCTA5 11207,92580,2859,62608,2194,29972,1748
8600000US11208,11208,ZCTA5 11208,99145,2552,59174,2333,39971,1897
8600000US11209,11209,ZCTA5 11209,67950,2059,56897,1597,11053,1256
8600000US11210,11210,ZCTA5 11210,68988,1830,63600,1846,5388,917
8600000US11211,11211,ZCTA5 11211,101560,2341,76810,1924,24750,1548
8600000US11212,11212,ZCTA5 11212,82831,2637,68118,2433,14713,1374
8600000US11213,11213,ZCTA5 11213,66503,1769,58920,1817,7583,799
8600000US11214,11214,ZCTA5 11214,94283,2539,80895,2007,13388,1538
8600000US11215,11215,ZCTA5 11215,71015,1488,58849,1512,12166,904
8600000US11216,11216,ZCTA5 11216,57410,1950,51191,1894,6219,836
8600000US11217,11217,ZCTA5 11217,39687,1245,32436,1296,7251,759
8600000US11218,11218,ZCTA5 11218,76960,1868,62713,1751,14247,939
8600000US11219,11219,ZCTA5 11219,93979,2377,82226,2590,11753,1238
8600000US11220,11220,ZCTA5 11220,100412,2559,58395,1812,42017,2231
8600000US11221,11221,ZCTA5 11221,84536,2334,53602,2020,30934,1909
8600000US11222,11222,ZCTA5 11222,36845,1151,31721,973,5124,750
8600000US11223,11223,ZCTA5 11223,80855,2249,68897,2100,11958,1301
8600000US11224,11224,ZCTA5 11224,45244,1603,36682,1515,8562,830
8600000US11225,11225,ZCTA5 11225,59497,1609,54301,1684,5196,895
8600000US11226,11226,ZCTA5 11226,102585,2479,84360,2338,18225,1796
8600000US11228,11228,ZCTA5 11228,44676,1235,39215,1049,5461,873
8600000US11229,11229,ZCTA5 11229,85776,1939,76110,1814,9666,1357
8600000US11230,11230,ZCTA5 11230,90257,2461,81012,2348,9245,1207
8600000US11231,11231,ZCTA5 11231,37680,1120,29933,1168,7747,852
8600000US11232,11232,ZCTA5 11232,28992,1470,13621,1170,15371,1260
8600000US11233,11233,ZCTA5 11233,74982,2026,62891,1805,12091,1229
8600000US11234,11234,ZCTA5 11234,97741,2041,87828,1945,9913,1325
8600000US11235,11235,ZCTA5 11235,80222,2081,73202,1842,7020,1168
8600000US11236,11236,ZCTA5 11236,100633,2205,93995,2209,6638,895
8600000US11237,11237,ZCTA5 11237,52319,1912,18827,964,33492,1780
8600000US11238,11238,ZCTA5 11238,55398,1530,49207,1497,6191,592
8600000US11239,11239,ZCTA5 11239,12713,883,10499,813,2214,671
8600000US11351,11351,ZCTA5 11351,0,11,0,11,0,11
8600000US11354,11354,ZCTA5 11354,57566,2207,48355,2063,9211,1514
8600000US11355,11355,ZCTA5 11355,82890,2298,71259,2376,11631,1495
8600000US11356,11356,ZCTA5 11356,24069,1298,14478,1076,9591,1284
8600000US11357,11357,ZCTA5 11357,41393,1750,35389,1409,6004,1272
8600000US11358,11358,ZCTA5 11358,36959,1074,30850,1124,6109,712
8600000US11359,11359,ZCTA5 11359,0,11,0,11,0,11
8600000US11360,11360,ZCTA5 11360,19501,1024,17752,998,1749,413
8600000US11361,11361,ZCTA5 11361,29072,1100,24833,1061,4239,828
8600000US11362,11362,ZCTA5 11362,18443,878,16802,866,1641,503
8600000US11363,11363,ZCTA5 11363,7423,625,6200,535,1223,548
8600000US11364,11364,ZCTA5 11364,35885,1486,32368,1387,3517,938
8600000US11365,11365,ZCTA5 11365,45565,1769,37025,1641,8540,1672
8600000US11366,11366,ZCTA5 11366,14308,924,13160,936,1148,384
8600000US11367,11367,ZCTA5 11367,43496,1904,35874,1601,7622,915
8600000US11368,11368,ZCTA5 11368,114647,3285,30754,1830,83893,3629
8600000US11369,11369,ZCTA5 11369,37325,1618,13408,1080,23917,1379
8600000US11370,11370,ZCTA5 11370,33789,1648,20845,1264,12944,1216
8600000US11371,11371,ZCTA5 11371,0,11,0,11,0,11
8600000US11372,11372,ZCTA5 11372,64298,2366,26173,1608,38125,2390
8600000US11373,11373,ZCTA5 11373,96353,2741,59075,2161,37278,2416
8600000US11374,11374,ZCTA5 11374,43540,2033,36005,1754,7535,1043
8600000US11375,11375,ZCTA5 11375,72937,1837,61946,1837,10991,1077
8600000US11377,11377,ZCTA5 11377,89688,2570,55021,2134,34667,2498
8600000US11378,11378,ZCTA5 11378,35844,1358,24635,1189,11209,1214
8600000US11379,11379,ZCTA5 11379,37524,1170,29941,1169,7583,880
8600000US11385,11385,ZCTA5 11385,106598,2104,59437,1899,47161,1924
8600000US11411,11411,ZCTA5 11411,19990,684,18848,672,1142,308
8600000US11412,11412,ZCTA5 11412,38833,1371,36316,1371,2517,539
8600000US11413,11413,ZCTA5 11413,42895,1510,40496,1438,2399,437
8600000US11414,11414,ZCTA5 11414,29203,1467,22333,1474,6870,1071
8600000US11415,11415,ZCTA5 11415,19900,957,15130,955,4770,760
8600000US11416,11416,ZCTA5 11416,27567,1154,15343,944,12224,880
8600000US11417,11417,ZCTA5 11417,32425,1282,20270,1125,12155,1076
8600000US11418,11418,ZCTA5 11418,39267,1565,21613,1138,17654,1363
8600000US11419,11419,ZCTA5 11419,52392,1758,41663,1623,10729,1214
8600000US11420,11420,ZCTA5 11420,49396,1788,38040,1726,11356,1184
8600000US11421,11421,ZCTA5 11421,43567,1713,18310,1100,25257,1511
8600000US11422,11422,ZCTA5 11422,33479,1325,30519,1450,2960,598
8600000US11423,11423,ZCTA5 11423,32407,1395,27883,1434,4524,943
8600000US11424,11424,ZCTA5 11424,0,11,0,11,0,11
8600000US11425,11425,ZCTA5 11425,0,11,0,11,0,11
8600000US11426,11426,ZCTA5 11426,21166,1329,16820,1300,4346,943
8600000US11427,11427,ZCTA5 11427,23809,1213,19810,1199,3999,519
8600000US11428,11428,ZCTA5 11428,19859,948,14934,788,4925,770
8600000US11429,11429,ZCTA5 11429,27667,1183,24195,1201,3472,673
8600000US11430,11430,ZCTA5 11430,183,166,124,101,59,67
8600000US11432,11432,ZCTA5 11432,65098,2337,48358,2267,16740,1766
8600000US11433,11433,ZCTA5 11433,36019,1625,29014,1531,7005,1384
8600000US11434,11434,ZCTA5 11434,66725,2359,61292,2322,5433,913
8600000US11435,11435,ZCTA5 11435,59214,1511,41084,1803,18130,1665
8600000US11436,11436,ZCTA5 11436,20905,982,17626,849,3279,584
8600000US11451,11451,ZCTA5 11451,0,11,0,11,0,11
8600000US11501,11501,ZCTA5 11501,19436,170,15769,883,3667,883
8600000US11507,11507,ZCTA5 11507,7211,477,6714,409,497,216
8600000US11509,11509,ZCTA5 11509,2206,303,2144,301,62,41
8600000US11510,11510,ZCTA5 11510,33416,1138,25597,1040,7819,963
8600000US11514,11514,ZCTA5 11514,4629,380,3762,391,867,436
8600000US11516,11516,ZCTA5 11516,7615,463,6246,1139,1369,1043
8600000US11518,11518,ZCTA5 11518,10249,457,8686,620,1563,506
8600000US11520,11520,ZCTA5 11520,43785,346,24871,843,18914,932
8600000US11530,11530,ZCTA5 11530,28574,463,26953,536,1621,374
8600000US11542,11542,ZCTA5 11542,27771,181,20311,1159,7460,1118
8600000US11545,11545,ZCTA5 11545,12841,725,11862,700,979,388
8600000US11547,11547,ZCTA5 11547,728,249,720,248,8,13
8600000US11548,11548,ZCTA5 11548,2987,607,2665,583,322,206
8600000US11549,11549,ZCTA5 11549,2918,254,2414,236,504,115
8600000US11550,11550,ZCTA5 11550,57845,297,31633,1284,26212,1244
8600000US11552,11552,ZCTA5 11552,25225,995,20463,1011,4762,816
8600000US11553,11553,ZCTA5 11553,25778,1167,15274,1134,10504,997
8600000US11554,11554,ZCTA5 11554,37195,1255,31806,1022,5389,901
8600000US11556,11556,ZCTA5 11556,14,13,14,13,0,11
8600000US11557,11557,ZCTA5 11557,7467,728,6299,408,1168,559
8600000US11558,11558,ZCTA5 11558,8465,356,6245,500,2220,518
